id,Area,Mean,Min,Max,X,Y
1,0,140,140,140,1168,1017.333
2,0,75,75,75,1142.667,1005.333
3,0,104,104,104,1158.667,969.333
4,0,134,134,134,1173.333,933.333
5,0,124,124,124,1152,922.667
6,0,96,96,96,1185.333,886.667
7,0,50,50,50,1250.667,849.333
8,0,74,74,74,1284,866.667
9,0,95,95,95,1312,821.333
10,0,38,38,38,1293.333,736
11,0,123,123,123,1337.333,710.667
12,0,83,83,83,1318.667,630.667
13,0,41,41,41,1349.333,624
14,0,91,91,91,1273.333,593.333
15,0,120,120,120,1313.333,534.667
16,0,48,48,48,1330.667,461.333
17,0,140,140,140,1293.333,470.667
18,0,86,86,86,1302.667,460
19,0,86,86,86,1353.333,410.667
20,0,95,95,95,1313.333,398.667
21,0,85,85,85,1290.667,377.333
22,0,54,54,54,1281.333,182.667
23,0,69,69,69,1350.667,200
24,0,94,94,94,1265.333,536
25,0,85,85,85,1217.333,542.667
26,0,140,140,140,1218.667,570.667
27,0,19,19,19,1192,604
28,0,63,63,63,1212,624
29,0,132,132,132,1250.667,661.333
30,0,74,74,74,1070.667,970.667
31,0,72,72,72,1044,974.667
32,0,68,68,68,1054.667,913.333
33,0,100,100,100,1018.667,908
34,0,69,69,69,1017.333,937.333
35,0,87,87,87,1145.333,792
36,0,91,91,91,1108,792
37,0,107,107,107,1124,766.667
38,0,99,99,99,1090.667,761.333
39,0,128,128,128,1114.667,621.333
40,0,91,91,91,1088,576
41,0,148,148,148,986.667,552
42,0,103,103,103,986.667,574.667
43,0,95,95,95,1029.333,568
44,0,132,132,132,1028,614.667
45,0,118,118,118,1016,616
46,0,113,113,113,981.333,662.667
47,0,140,140,140,1057.333,721.333
48,0,92,92,92,1042.667,737.333
49,0,74,74,74,1026.667,768
50,0,81,81,81,970.667,765.333
51,0,132,132,132,949.333,736
52,0,109,109,109,960,712
53,0,113,113,113,944,832
54,0,140,140,140,908,944
55,0,4,4,4,938.667,961.333
56,0,128,128,128,958.667,946.667
57,0,107,107,107,837.333,874.667
58,0,94,94,94,874.667,737.333
59,0,101,101,101,860,730.667
60,0,89,89,89,852,709.333
61,0,98,98,98,833.333,702.667
62,0,104,104,104,910.667,684
63,0,140,140,140,904,644
64,0,69,69,69,904,597.333
65,0,73,73,73,868,636
66,0,106,106,106,948,488
67,0,89,89,89,933.333,398.667
68,0,79,79,79,860,222.667
69,0,128,128,128,810.667,262.667
70,0,94,94,94,848,282.667
71,0,146,146,146,801.333,348
72,0,123,123,123,900,409.333
73,0,136,136,136,858.667,446.667
74,0,109,109,109,848,462.667
75,0,95,95,95,869.333,490.667
76,0,106,106,106,857.333,562.667
77,0,124,124,124,840,618.667
78,0,59,59,59,809.333,674.667
79,0,45,45,45,805.333,705.333
80,0,80,80,80,781.333,980
81,0,61,61,61,712,852
82,0,54,54,54,696,870.667
83,0,16,16,16,642.667,858.667
84,0,112,112,112,726.667,816
85,0,36,36,36,632,846.667
86,0,95,95,95,597.333,845.333
87,0,100,100,100,578.667,845.333
88,0,82,82,82,588,866.667
89,0,94,94,94,604,902.667
90,0,80,80,80,590.667,922.667
91,0,89,89,89,556,928
92,0,140,140,140,680,770.667
93,0,159,159,159,756,674.667
94,0,118,118,118,756,654.667
95,0,116,116,116,744,656
96,0,91,91,91,774.667,630.667
97,0,148,148,148,806.667,482.667
98,0,140,140,140,801.333,461.333
99,0,80,80,80,789.333,492
100,0,148,148,148,768,361.333
101,0,77,77,77,765.333,332
102,0,92,92,92,749.333,136
103,0,94,94,94,712,146.667
104,0,106,106,106,685.333,49.333
105,0,97,97,97,650.667,136
106,0,71,71,71,652,168
107,0,53,53,53,625.333,185.333
108,0,83,83,83,624,202.667
109,0,66,66,66,730.667,318.667
110,0,98,98,98,754.667,506.667
111,0,85,85,85,525.333,864
112,0,81,81,81,502.667,844
113,0,98,98,98,544,790.667
114,0,106,106,106,532,753.333
115,0,146,146,146,513.333,728
116,0,106,106,106,480,697.333
117,0,108,108,108,444,746.667
118,0,102,102,102,485.333,645.333
119,0,92,92,92,485.333,630.667
120,0,126,126,126,508,614.667
121,0,107,107,107,516,553.333
122,0,115,115,115,561.333,550.667
123,0,98,98,98,581.333,597.333
124,0,118,118,118,573.333,614.667
125,0,113,113,113,618.667,789.333
126,0,128,128,128,646.667,781.333
127,0,113,113,113,645.333,685.333
128,0,124,124,124,648,653.333
129,0,119,119,119,657.333,637.333
130,0,119,119,119,656,621.333
131,0,120,120,120,626.667,596
132,0,134,134,134,628,632
133,0,95,95,95,593.333,648
134,0,134,134,134,596,684
135,0,152,152,152,606.667,718.667
136,0,19,19,19,596,745.333
137,0,99,99,99,708,602.667
138,0,116,116,116,617.333,501.333
139,0,105,105,105,560,520
140,0,140,140,140,680,512
141,0,140,140,140,686.667,476
142,0,103,103,103,672,474.667
143,0,112,112,112,662.667,510.667
144,0,110,110,110,697.333,454.667
145,0,99,99,99,677.333,420
146,0,140,140,140,669.333,396
147,0,111,111,111,636,386.667
148,0,103,103,103,565.333,381.333
149,0,144,144,144,540,378.667
150,0,95,95,95,546.667,313.333
151,0,87,87,87,529.333,309.333
152,0,91,91,91,530.667,234.667
153,0,78,78,78,706.667,404
154,0,130,130,130,618.667,408
155,0,107,107,107,541.333,425.333
156,0,140,140,140,626.667,52
157,0,132,132,132,496,125.333
158,0,91,91,91,554.667,164
159,0,101,101,101,548,486.667
160,0,50,50,50,474.667,821.333
161,0,87,87,87,108,108
162,0,100,100,100,128,108
163,0,136,136,136,74.667,160
164,0,81,81,81,92,141.333
165,0,107,107,107,70.667,188
166,0,38,38,38,177.333,206.667
167,0,83,83,83,78.667,358.667
168,0,53,53,53,13.333,306.667
169,0,100,100,100,22.667,516
170,0,45,45,45,206.667,657.333
171,0,100,100,100,586.667,245.333
172,0,53,53,53,558.667,249.333
